NON $ % + - . 0 1 2 3 4 5 6
#NON	k	g	l	j	i	h	f	b	d	a	e	c
4.026845637583893	0.1463461287171315	0.1655729275908913	0.1030138062413251	0.043426974664019145	0.03272961245462301	0.01991861701471896	0.028072505160285168	0.10651917836234372	0.19536929612468967	0.24445139109849245	0.1833166354436394	0.039079445740971094
4.3624161073825505	0.14572322255366574	0.16452908921963363	0.10264339178523212	0.04315086605173547	0.03250111506676375	0.019630302959932514	0.02773779346910761	0.10604857285372042	0.1947769205037001	0.24335324645872794	0.18237475981301948	0.038808838632301286
4.697986577181208	0.1453018202190466	0.16382594763164365	0.10239930307070831	0.04296841574604203	0.03234884246946513	0.01943418702441321	0.0275119290630773	0.10574283081000035	0.19437449926862535	0.24258690064162483	0.18173612092311167	0.03862949484978836
5.033557046979866	0.14501643484708787	0.16335155263405432	0.10223833955130297	0.04284753450903868	0.03224722069806691	0.019301222561370446	0.027359845363314823	0.10554333561479126	0.19410101173299943	0.242054514248568	0.18130324159709088	0.03851019264957062
5.369127516778524	0.14482303058191542	0.16303112622709326	0.10213206999252317	0.042767257961366864	0.03217930729134746	0.019211293386130028	0.027257593900142315	0.10541268826017058	0.19391510681002827	0.24168608250374893	0.1810098597479775	0.03843061586000372
5.704697986577181	0.1446919071639968	0.1628145189413068	0.1020618123876426	0.0427138364285972	0.0321338613932966	0.019150579928829438	0.02718891422755646	0.10532685755658953	0.19378872907463215	0.24143194166011345	0.18081102444911473	0.03837742513534495
6.0402684563758395	0.14460298467743457	0.16266800647527913	0.10201529089158944	0.04267822140462485	0.03210341365926164	0.019109644565184186	0.02714281191516688	0.10527031214227058	0.19370281981999513	0.2412571195278585	0.18067626064047668	0.03834181314449577
6.375838926174497	0.14454267297106127	0.16256885415676844	0.10198443675839772	0.04265443629937143	0.032082989422147316	0.01908206848894393	0.027111872692457937	0.1052329638453859	0.19364442593847467	0.24113713313694396	0.18058491651966002	0.038317933416042727
6.7114093959731544	0.14450175784283587	0.16250173168793666	0.10196393727286106	0.0426385293969606	0.032069275718043626	0.019063502991005735	0.0270911106495652	0.1052082387368575	0.1936047360609019	0.24105494138687603	0.18052299348961495	0.038301904683930334
7.046979865771813	0.1444740054663708	0.1624562767757123	0.10195029876112041	0.04262787579023716	0.03206005778359259	0.019051008241577114	0.027077176246267654	0.10519183688868367	0.19357776688212217	0.2409987288208358	0.18048101753548204	0.03829113134412962
7.38255033557047	0.1444551741354101	0.1624254898883908	0.10194120740053585	0.042620732934803576	0.032053857431538844	0.019042600579570714	0.027067821871723588	0.10518093408301059	0.19355943953318372	0.2409603371848792	0.18045255535631025	0.03828388658144657
7.718120805369128	0.14444240136786185	0.16240463109613132	0.10193514025074724	0.04261593774328462	0.03204968249792009	0.019036943021234626	0.027061539662922646	0.105173674205804	0.19354699036878262	0.24093414445602349	0.18043326023084427	0.038279007867402196
8.053691275167786	0.14443373627081324	0.16239049809631756	0.10193108719995106	0.042612714914962616	0.03204686914112128	0.019033135515204788	0.02705731872089556	0.10516883354762431	0.1935385335410861	0.24091629237413928	0.18042017548613515	0.03827572067397129
8.389261744966444	0.14442785233166341	0.1623809205189039	0.10192836833055423	0.04261054944418991	0.032044974048629424	0.01903057302996399	0.02705448193153693	0.10516559620531689	0.193532787099099	0.2409041345942268	0.18041130154219293	0.03827350709038156
8.724832214765101	0.14442386739918323	0.16237442807983768	0.1019265533567821	0.04260908939836889	0.032043693517465936	0.01902884729561999	0.027052573510167995	0.10516343469304631	0.19352888809478558	0.2408958589073312	0.1804052863775836	0.03827201032704468
9.060402684563758	0.14442116030096877	0.1623700279546324	0.10192533311716405	0.042608106852470344	0.03204283009384056	0.01902768522495552	0.02705128961724105	0.10516198536563987	0.1935262385524006	0.24089023030001727	0.1804012053115854	0.03827100172939846
9.395973154362416	0.14441932444925698	0.1623670454133751	0.10192451418513584	0.04260744448244864	0.03204224696099676	0.01902690240563027	0.027050425346902354	0.10516101384508299	0.19352444004775762	0.24088640380622073	0.18039843821510937	0.03827032047679217
9.731543624161075	0.1444180775041809	0.16236502148862506	0.10192396285077336	0.04260699736721559	0.03204185267694174	0.019026374312548035	0.0270498426323835	0.10516036083545097	0.1935232176790223	0.24088380075349988	0.1803965596601238	0.038269859898964705
10.067114093959733	0.1444172308925942	0.16236364794084374	0.1019235917289931	0.042606695278427906	0.03204158588602549	0.019026017915581936	0.0270494495375329	0.10515992170230133	0.1935223871451731	0.24088203048239495	0.1803952844368591	0.03826954822834844
10.40268456375839	0.1444166620724189	0.16236272564238288	0.10192334439889071	0.04260649333570926	0.03204140728048647	0.019025779951666974	0.02704918715933359	0.10515962938803854	0.19352182877384744	0.24088083953742642	0.18039442788676238	0.03826933958008878
10.738255033557047	0.14441627268833546	0.16236209450641834	0.10192317612762261	0.04260635558454808	0.03204128531933582	0.019025617831353717	0.027049008432608997	0.10515943065642254	0.1935214463534952	0.24088002355512636	0.1803938416239476	0.03826919709982983
11.073825503355705	0.1444160070604329	0.16236166412602346	0.1019230619721766	0.04260626192822564	0.03204120231787275	0.01902550774188669	0.027048887077000146	0.10515929593740801	0.19352118536496113	0.24087946653575448	0.18039344176035504	0.038269100133904735
11.409395973154362	0.14441582775511874	0.16236137382010987	0.10192298540636002	0.04260619899855856	0.03204114647887313	0.019025433849651722	0.02704880563788769	0.10515920569699796	0.19352100911431055	0.2408790902736226	0.18039317194652504	0.03826903490739097
11.74496644295302	0.14441570657662023	0.16236117775313455	0.10192293393716653	0.042606156637731894	0.032041108851774754	0.019025384162329663	0.02704875088052418	0.10515914510659986	0.19352088995744005	0.24087883587404288	0.1803929896638881	0.03826899095922872
12.080536912751679	0.14441562348332632	0.16236104332276952	0.1019228987558006	0.042606127637551866	0.03204108307900734	0.01902535018939541	0.027048713435782218	0.10515910370192483	0.19352080822878556	0.24087866139598238	0.18039286467423388	0.03826896085557359
12.416107382550337	0.14441556675310274	0.16236095148378346	0.10192287483654662	0.04260610784009984	0.032041065477791446	0.019025327042057515	0.027048687917940125	0.10515907552862681	0.1935207524034116	0.24087854217499793	0.18039277930093547	0.038268940289397535
12.751677852348994	0.14441552834604784	0.162360889223944	0.10192285876045744	0.04260609443212163	0.03204105354963399	0.01902531140645932	0.027048670679882196	0.10515905656110883	0.19352071457609943	0.24087846129659501	0.18039272144880747	0.03826892634228026
13.087248322147651	0.14441550233527273	0.1623608470374287	0.10192284797166816	0.04260608537579329	0.03204104548264741	0.019025300864971152	0.027048659060992165	0.10515904382853258	0.19352068893516927	0.24087840640105443	0.1803926822534993	0.038268916905847876
13.422818791946309	0.14441548559664397	0.16236081995576176	0.1019228410618865	0.042606079597590024	0.03204104032685065	0.019025294137370304	0.02704865164772959	0.10515903570745008	0.19352067243436305	0.24087837109704907	0.18039265706857016	0.03826891087960667
13.758389261744966	0.1444154735443812	0.16236080065440348	0.10192283600135386	0.0426060755158673	0.03204103668121137	0.019025289349378065	0.027048646371183958	0.10515902984383926	0.19352066059244602	0.24087834594411223	0.18039263905320232	0.03826890663709937
14.093959731543626	0.14441546364338928	0.16236078472978435	0.10192283187656208	0.042606072136213154	0.032041033663714046	0.019025285400015465	0.027048642018335258	0.10515902503554998	0.19352065085034045	0.24087832519143984	0.1803926242122317	0.038268903118974774
14.429530201342283	0.14441545607023	0.16236077248817027	0.10192282875187268	0.04260606952783859	0.032041031335723	0.019025282366210407	0.02704863867392647	0.10515902136690727	0.19352064338612965	0.2408783092388648	0.18039261282359817	0.03826890039888842
14.76510067114094	0.14441545156455027	0.1623607652125603	0.10192282689690692	0.042606067980679986	0.03204102995430358	0.019025280570226698	0.02704863669296008	0.10515901919116259	0.19352063894583457	0.24087829976135358	0.18039260605163776	0.03826889878539568
15.100671140939598	0.14441544984399562	0.1623607624453489	0.10192282619460617	0.04260606739678001	0.03204102943210699	0.019025279897635413	0.027048635949450336	0.105159018370553	0.193520637251053	0.24087829616203213	0.1803926034711486	0.03826889817634022
15.436241610738255	0.14441544720665184	0.1623607581869259	0.1019228251102298	0.04260606649183201	0.03204102862391402	0.019025278848172955	0.02704863479161359	0.1051590170988851	0.19352063465168745	0.24087829061535823	0.1803925995073614	0.03826889723236259
15.771812080536913	0.14441544586217656	0.16236075601843436	0.1019228245598583	0.04260606603243342	0.03204102821330137	0.01902527831734059	0.027048634205392805	0.10515901645426842	0.1935206333264663	0.24087828779236634	0.18039259748783332	0.038268896752921
16.107382550335572	0.14441544581056973	0.1623607559398742	0.10192282454349165	0.04260606601858424	0.03204102820026905	0.019025278305138314	0.027048634190787988	0.10515901643670296	0.19352063327538957	0.24087828769305641	0.1803925974125644	0.038268896738015465
16.44295302013423	0.14441544436211878	0.162360753607315	0.10192282395334282	0.04260606552627977	0.03204102775983978	0.01902527773850119	0.02704863356436466	0.1051590157466976	0.19352063184771223	0.24087828465820954	0.18039259523864584	0.03826889622402139
16.778523489932887	0.14441544528994812	0.16236075510677656	0.10192282433737727	0.042606065846137596	0.03204102804517973	0.019025278111474215	0.027048633975254126	0.10515901619757437	0.19352063276186912	0.24087828661287114	0.1803925966337075	0.038268896557363034
17.114093959731544	0.1444154462177775	0.16236075660623808	0.10192282472141173	0.042606066165995424	0.03204102833051967	0.019025278484447235	0.02704863438614359	0.10515901664845115	0.193520633676026	0.2408782885675327	0.18039259802876914	0.03826889689070468
17.449664429530202	0.14441544714560683	0.16236075810569964	0.10192282510544619	0.04260606648585326	0.03204102861585962	0.01902527885742026	0.02704863479703306	0.10515901709932793	0.1935206345901829	0.2408782905221943	0.18039259942383082	0.038268897224046326
17.78523489932886	0.14441544756550218	0.16236075878415995	0.10192282527894733	0.04260606663042875	0.03204102874487632	0.019025279025817136	0.027048634982596798	0.10515901730295019	0.193520635003942	0.24087829140658834	0.18039260005511235	0.038268897374762884
18.120805369127517	0.14441544786650531	0.16236075927044843	0.10192282540316891	0.042606066733975885	0.032041028837302414	0.01902527914632885	0.027048635115418523	0.10515901744869756	0.19352063530057298	0.24087829204046476	0.1803926005076158	0.03826889748273237
18.456375838926174	0.14441544816750845	0.16236075975673692	0.10192282552739049	0.04260606683752302	0.032041028929728516	0.019025279266840566	0.027048635248240253	0.10515901759444495	0.19352063559720392	0.24087829267434122	0.18039260096011928	0.03826889759070186
18.79194630872483	0.1444154484685116	0.1623607602430254	0.10192282565161206	0.04260606694107016	0.03204102902215462	0.01902527938735228	0.027048635381061982	0.10515901774019232	0.19352063589383486	0.24087829330821764	0.18039260141262273	0.038268897698671346
19.12751677852349	0.14441544876951476	0.16236076072931388	0.10192282577583366	0.04260606704461729	0.03204102911458071	0.019025279507863996	0.02704863551388371	0.1051590178859397	0.1935206361904658	0.2408782939420941	0.18039260186512618	0.038268897806640834
19.46308724832215	0.1444154489807443	0.16236076107055167	0.10192282586296073	0.042606067117256556	0.03204102917942482	0.01902527959237551	0.027048635607035427	0.10515901798815472	0.1935206363986352	0.24087829438689234	0.18039260218266398	0.03826889788238951
19.798657718120808	0.14441544907838894	0.1623607612282659	0.10192282590315442	0.04260606715079	0.03204102920937115	0.019025279631338217	0.02704863564999515	0.10515901803529096	0.19352063649487974	0.24087829459246182	0.18039260232943813	0.038268897917371196
20.134228187919465	0.14441544917603358	0.16236076138598013	0.10192282594334812	0.04260606718432346	0.03204102923931748	0.01902527967030092	0.02704863569295487	0.1051590180824272	0.19352063659112428	0.24087829479803127	0.18039260247621228	0.03826889795235289
20.469798657718123	0.14441544927367825	0.16236076154369436	0.10192282598354181	0.042606067217856904	0.03204102926926381	0.01902527970926363	0.02704863573591459	0.10515901812956344	0.19352063668736882	0.24087829500360075	0.18039260262298645	0.03826889798733457
20.80536912751678	0.1444154493713229	0.16236076170140856	0.10192282602373551	0.04260606725139035	0.03204102929921014	0.019025279748226338	0.027048635778874314	0.10515901817669968	0.19352063678361336	0.24087829520917023	0.1803926027697606	0.038268898022316256
21.140939597315437	0.14441544946277055	0.16236076184911322	0.10192282606137731	0.04260606728279509	0.032041029327255596	0.019025279784715056	0.027048635819106426	0.10515901822084306	0.19352063687374996	0.2408782954016928	0.18039260290721967	0.03826889805507745
21.476510067114095	0.14441544947503723	0.16236076186892193	0.10192282606641288	0.042606067287000525	0.03204102933101304	0.019025279789592783	0.0270486358244869	0.10515901822674573	0.1935206368858432	0.2408782954275106	0.1803926029256564	0.03826889805946664
21.812080536912752	0.1444154494873039	0.16236076188873066	0.10192282607144844	0.04260606729120596	0.03204102933477048	0.01902527979447051	0.027048635829867378	0.1051590182326484	0.19352063689793642	0.2408782954533284	0.18039260294409312	0.038268898063855826
22.14765100671141	0.14441544949957058	0.16236076190853937	0.10192282607648401	0.042606067295411394	0.03204102933852792	0.019025279799348233	0.027048635835247855	0.10515901823855106	0.19352063691002963	0.24087829547914621	0.18039260296252985	0.038268898068245016
22.483221476510067	0.14441544951183727	0.1623607619283481	0.10192282608151956	0.04260606729961683	0.032041029342285365	0.01902527980422596	0.027048635840628332	0.10515901824445373	0.19352063692212287	0.240878295504964	0.18039260298096657	0.0382688980726342
22.818791946308725	0.14441544952410396	0.16236076194815682	0.10192282608655513	0.04260606730382226	0.032041029346042804	0.019025279809103682	0.02704863584600881	0.1051590182503564	0.1935206369342161	0.2408782955307818	0.1803926029994033	0.03826889807702339
23.154362416107382	0.14441544953637064	0.16236076196796556	0.1019228260915907	0.0426060673080277	0.03204102934980024	0.01902527981398141	0.027048635851389287	0.10515901825625906	0.1935206369463093	0.24087829555659962	0.18039260301784002	0.03826889808141258
23.48993288590604	0.14441544954863733	0.16236076198777427	0.10192282609662626	0.04260606731223313	0.03204102935355769	0.019025279818859132	0.02704863585676976	0.10515901826216174	0.19352063695840252	0.2408782955824174	0.18039260303627674	0.038268898085801764
23.8255033557047	0.14441544956090402	0.162360762007583	0.10192282610166183	0.04260606731643857	0.03204102935731513	0.01902527982373686	0.027048635862150238	0.10515901826806441	0.19352063697049576	0.2408782956082352	0.18039260305471347	0.038268898090190955
24.161073825503358	0.1444154495731707	0.16236076202739172	0.10192282610669738	0.042606067320644	0.03204102936107257	0.019025279828614586	0.027048635867530715	0.10515901827396708	0.19352063698258898	0.24087829563405302	0.1803926030731502	0.03826889809458014
24.496644295302016	0.1444154495854374	0.16236076204720046	0.10192282611173295	0.04260606732484943	0.03204102936483001	0.01902527983349231	0.027048635872911193	0.10515901827986975	0.1935206369946822	0.24087829565987082	0.18039260309158694	0.03826889809896933
24.832214765100673	0.14441544959770408	0.1623607620670092	0.1019228261167685	0.042606067329054864	0.03204102936858745	0.019025279838370036	0.02704863587829167	0.10515901828577241	0.19352063700677544	0.2408782956856886	0.18039260311002367	0.03826889810335851
25.16778523489933	0.14441544960997077	0.1623607620868179	0.10192282612180407	0.0426060673332603	0.0320410293723449	0.01902527984324776	0.027048635883672144	0.10515901829167508	0.19352063701886865	0.24087829571150643	0.1803926031284604	0.0382688981077477
25.503355704697988	0.14441544962223746	0.16236076210662664	0.10192282612683963	0.04260606733746573	0.032041029376102335	0.019025279848125486	0.02704863588905262	0.10515901829757775	0.19352063703096187	0.24087829573732422	0.18039260314689712	0.03826889811213689
25.838926174496645	0.14441544963450414	0.16236076212643535	0.1019228261318752	0.04260606734167117	0.032041029379859774	0.01902527985300321	0.0270486358944331	0.10515901830348041	0.19352063704305508	0.24087829576314201	0.18039260316533384	0.038268898116526076
26.174496644295303	0.14441544964677083	0.1623607621462441	0.10192282613691077	0.0426060673458766	0.03204102938361722	0.019025279857880936	0.027048635899813576	0.10515901830938308	0.19352063705514833	0.24087829578895983	0.18039260318377057	0.038268898120915266
26.51006711409396	0.14441544965903752	0.1623607621660528	0.10192282614194632	0.04260606735008204	0.03204102938737466	0.01902527986275866	0.027048635905194053	0.10515901831528575	0.19352063706724154	0.24087829581477763	0.1803926032022073	0.03826889812530445
26.845637583892618	0.1444154496713042	0.16236076218586154	0.10192282614698189	0.04260606735428747	0.032041029391132105	0.019025279867636385	0.027048635910574527	0.10515901832118842	0.19352063707933476	0.24087829584059542	0.18039260322064402	0.03826889812969364
27.181208053691275	0.14441544968217046	0.1623607622034087	0.10192282615144238	0.04260606735801269	0.03204102939446051	0.019025279871957013	0.02704863591534052	0.10515901832641696	0.19352063709004735	0.24087829586346562	0.18039260323697587	0.03826889813358166
27.516778523489933	0.14441544968371145	0.16236076220589676	0.10192282615207356	0.04260606735854028	0.03204102939493208	0.019025279872568062	0.0270486359160148	0.10515901832715657	0.1935206370915668	0.24087829586670828	0.18039260323929177	0.03826889813413251
27.85234899328859	0.14441544968525244	0.1623607622083848	0.10192282615270475	0.042606067359067856	0.03204102939540365	0.01902527987317911	0.02704863591668908	0.10515901832789618	0.19352063709308626	0.24087829586995094	0.1803926032416077	0.038268898134683364
28.18791946308725	0.14441544968679343	0.16236076221087284	0.10192282615333592	0.04260606735959544	0.03204102939587522	0.01902527987379016	0.027048635917363364	0.10515901832863579	0.1935206370946057	0.2408782958731936	0.18039260324392362	0.038268898135234215
28.52348993288591	0.14441544968833442	0.1623607622133609	0.1019228261539671	0.042606067360123026	0.032041029396346794	0.01902527987440121	0.027048635918037644	0.1051590183293754	0.19352063709612516	0.24087829587643622	0.1803926032462395	0.038268898135785066
28.859060402684566	0.1444154496898754	0.16236076221584894	0.10192282615459829	0.042606067360650604	0.03204102939681836	0.01902527987501226	0.027048635918711924	0.10515901833011501	0.1935206370976446	0.24087829587967888	0.18039260324855544	0.03826889813633592
29.194630872483224	0.14441544969141643	0.162360762218337	0.10192282615522946	0.04260606736117819	0.03204102939728993	0.01902527987562331	0.027048635919386204	0.10515901833085461	0.19352063709916406	0.24087829588292153	0.18039260325087134	0.03826889813688677
29.53020134228188	0.14441544969295741	0.16236076222082504	0.10192282615586065	0.042606067361705774	0.0320410293977615	0.01902527987623436	0.027048635920060488	0.10515901833159423	0.19352063710068348	0.2408782958861642	0.18039260325318726	0.03826889813743762
29.86577181208054	0.1444154496944984	0.16236076222331308	0.10192282615649183	0.04260606736223335	0.03204102939823307	0.019025279876845408	0.027048635920734768	0.10515901833233383	0.19352063710220294	0.24087829588940685	0.1803926032555032	0.03826889813798848
30.201342281879196	0.1444154496960394	0.16236076222580115	0.101922826157123	0.04260606736276094	0.032041029398704644	0.019025279877456457	0.027048635921409048	0.10515901833307345	0.1935206371037224	0.2408782958926495	0.18039260325781908	0.03826889813853933
30.536912751677853	0.14441544969758038	0.16236076222828918	0.10192282615775419	0.04260606736328852	0.03204102939917621	0.019025279878067507	0.027048635922083328	0.10515901833381307	0.19352063710524184	0.24087829589589216	0.180392603260135	0.03826889813909018
30.87248322147651	0.14441544969912137	0.16236076223077725	0.10192282615838537	0.04260606736381611	0.03204102939964778	0.019025279878678556	0.02704863592275761	0.10515901833455267	0.1935206371067613	0.24087829589913481	0.18039260326245093	0.03826889813964103
31.20805369127517	0.1444154497006624	0.1623607622332653	0.10192282615901654	0.042606067364343685	0.03204102940011935	0.019025279879289602	0.02704863592343189	0.10515901833529229	0.19352063710828074	0.24087829590237747	0.18039260326476683	0.03826889814019188
31.543624161073826	0.14441544970220338	0.16236076223575333	0.10192282615964773	0.04260606736487127	0.03204102940059092	0.01902527987990065	0.02704863592410617	0.10515901833603189	0.1935206371098002	0.24087829590562013	0.18039260326708276	0.03826889814074273
31.879194630872483	0.14441544970374437	0.1623607622382414	0.10192282616027891	0.042606067365398854	0.032041029401062494	0.0190252798805117	0.02704863592478045	0.1051590183367715	0.19352063711131964	0.24087829590886278	0.18039260326939868	0.038268898141293584
32.214765100671144	0.14441544970528536	0.16236076224072943	0.1019228261609101	0.04260606736592643	0.03204102940153406	0.01902527988112275	0.027048635925454735	0.10515901833751111	0.1935206371128391	0.24087829591210544	0.18039260327171458	0.038268898141844435
32.5503355704698	0.14441544970682635	0.1623607622432175	0.10192282616154127	0.04260606736645402	0.032041029402005636	0.0190252798817338	0.027048635926129015	0.10515901833825073	0.19352063711435852	0.2408782959153481	0.1803926032740305	0.038268898142395286
32.88590604026846	0.14441544970836734	0.16236076224570553	0.10192282616217245	0.0426060673669816	0.0320410294024772	0.01902527988234485	0.027048635926803295	0.10515901833899033	0.19352063711587797	0.24087829591859075	0.1803926032763464	0.038268898142946144
33.22147651006711	0.14441544970962292	0.16236076224773277	0.10192282616268673	0.04260606736741146	0.03204102940286144	0.019025279882842718	0.027048635927352686	0.10515901833959296	0.193520637117116	0.2408782959212328	0.1803926032782334	0.03826889814339496
