NON $ % + - . 0
#NON	c	d	b	a	e	f
10.084033613445378	0.07471081282929642	0.11501059728212522	0.016872800708404065	0.016012298097272924	0.07514231845900081	0.0399238660532962
10.504201680672269	0.07452606307748293	0.11467929138333441	0.016796229091288674	0.01594253047414378	0.07497320843121003	0.03980258658138785
10.92436974789916	0.074383430484186	0.11442325813159028	0.016737154170442487	0.0158888182218013	0.07484267461114658	0.03970905286637487
11.344537815126051	0.07427331891769788	0.11422544801075396	0.016691574973064525	0.015847443733497512	0.074741917154401	0.0396369043918107
11.764705882352942	0.07418832324619214	0.11407265777072813	0.016656403600653253	0.01581555639464337	0.07466416023981516	0.039581251434167915
12.184873949579831	0.07412270974388004	0.1139546547825007	0.016629264449295838	0.015790974027034808	0.07460413502061304	0.0395383081130718
12.605042016806722	0.07407206440688772	0.11386353570904124	0.016608321590875157	0.01577201773286935	0.07455780814905333	0.03950517451300161
13.025210084033613	0.07403297069024979	0.1137931787245956	0.016592159082584792	0.015757396224937287	0.07452205003714038	0.039479605777103285
13.445378151260504	0.0740027942029086	0.11373885725794314	0.01657968532846609	0.015746116406485728	0.07449444973823713	0.03945987377017732
13.865546218487395	0.073979498901107	0.11369691510450777	0.01657005729120131	0.015737412631084753	0.07447314396524483	0.039444643937814564
14.285714285714286	0.07396151772447346	0.11366453628056798	0.016562626543382166	0.015730696821629756	0.07445669869930925	0.03943288985786055
14.705882352941178	0.0739476398194799	0.11363954339360575	0.016556891947777378	0.015725514918156817	0.07444400655300423	0.03942381901646521
15.126050420168067	0.07393692796295985	0.11362025030861941	0.016552465684899834	0.015721515813128268	0.07443421060417046	0.03941681830428558
15.546218487394958	0.07392865954996357	0.11360535746390353	0.01654904957351232	0.015718429677847822	0.07442664859959522	0.03941141456925378
15.966386554621849	0.07392227906606474	0.11359386558662192	0.016546414508863176	0.015716049242338895	0.07442081108514995	0.03940724394004291
16.386554621848738	0.07391735346010259	0.11358499390314251	0.016544380560555794	0.015714211879760687	0.07441630397833122	0.03940402400021236
16.80672268907563	0.07391355072718066	0.11357814219773718	0.01654280840327796	0.0157127919214765	0.07441282886635531	0.03940154004066191
17.22689075630252	0.07391061645463531	0.11357285429451923	0.016541594573962988	0.015711695763111943	0.07441014939122942	0.039399624314804385
17.647058823529413	0.07390834926011444	0.11356877257517091	0.01654066025479784	0.015710851662814912	0.07440807058454449	0.0393981404751673
18.067226890756302	0.07390660154086044	0.1135656240882578	0.016539938257423805	0.015710199620554016	0.07440647243693692	0.039396998726934605
18.487394957983195	0.07390525387691319	0.1135631941706161	0.016539379729200002	0.015709695414347292	0.07440524445814096	0.03939612020658714
18.907563025210084	0.07390421217058878	0.11356131688165351	0.016538948914149126	0.015709306382978565	0.07440429301840978	0.039395440010720074
19.327731092436974	0.07390340619917107	0.11355986656678825	0.01653861746652327	0.0157090068676185	0.07440355231775929	0.03939491173912622
19.747899159663866	0.0739027855404147	0.11355874852882433	0.01653836116102672	0.015708775394912045	0.07440298453510777	0.03939450621400925
20.168067226890756	0.07390230750795625	0.11355788680955542	0.016538163210290703	0.015708596695577136	0.07440254857543532	0.03939419453569012
20.58823529411765	0.07390193815175376	0.11355722110893877	0.016538010388400963	0.015708458715564224	0.07440221142296194	0.03939395350509687
21.008403361344538	0.07390165273629835	0.11355670646751875	0.01653789212294602	0.01570835194978694	0.0744019513057695	0.039393767372483415
21.42857142857143	0.07390143169961305	0.11355630826816249	0.016537800863845122	0.015708269519864943	0.07440174904217077	0.039393622813707244
21.84873949579832	0.07390126094302707	0.11355600068128761	0.016537730391052646	0.015708205861336713	0.07440159271214013	0.03939351111152265
22.26890756302521	0.07390112915822221	0.11355576333351274	0.016537676028529985	0.015708156753574093	0.07440147199560099	0.03939342489403456
22.689075630252102	0.07390102713186825	0.11355557956264227	0.01653763391714821	0.015708118717530493	0.07440137859916496	0.03939335819421776
23.10924369747899	0.07390094866260614	0.11355543814925206	0.01653760146070147	0.015708089411628462	0.07440130694088197	0.03939330698015061
23.529411764705884	0.0739008880723601	0.11355532895025135	0.01653757639405233	0.015708066779211945	0.07440125162648642	0.039393267441040165
23.949579831932773	0.0739008413699481	0.11355524478102114	0.01653755707596765	0.015708049336453183	0.07440120898538835	0.03939323695457015
24.369747899159663	0.0739008055182884	0.11355518019411681	0.016537542272124256	0.015708035965971145	0.0744011761858371	0.039393213516399975
24.789915966386555	0.07390077783626704	0.11355513033281991	0.01653753084976975	0.01570802564826672	0.07440115083902274	0.039393195407574695
25.210084033613445	0.0739007566208337	0.11355509212420331	0.016537522099348275	0.015708017743578252	0.07440113140190817	0.039393181526812156
25.630252100840337	0.07390074031552013	0.11355506275212951	0.016537515367369346	0.01570801166322526	0.07440111647994692	0.039393170868541834
26.050420168067227	0.07390072742146818	0.11355503953282957	0.01653751005046341	0.015708006860008002	0.07440110466164644	0.03939316243297012
26.47058823529412	0.07390071746263172	0.11355502159243513	0.016537505937285923	0.015708003145218773	0.07440109555121066	0.03939315592644903
26.89075630252101	0.07390070983201373	0.1135550078369	0.01653750277699275	0.01570800029233503	0.07440108859429456	0.039393150951808155
27.310924369747898	0.07390070369299426	0.11355499677117621	0.01653750023507327	0.015707997997643528	0.07440108299570865	0.039393146949487354
27.73109243697479	0.07390069925317548	0.11355498876854186	0.016537498397567383	0.01570799633879177	0.07440107894596466	0.03939314405269411
28.15126050420168	0.07390069566343724	0.11355498229648733	0.01653749691037073	0.01570799499644114	0.07440107567575817	0.03939314171247499
28.571428571428573	0.07390069300816247	0.11355497751100463	0.01653749581226144	0.015707994005010446	0.07440107325184192	0.039393139978667814
28.991596638655462	0.07390069115188723	0.11355497416856543	0.016537495047699514	0.015707993314261533	0.07440107154899141	0.03939313876235186
29.411764705882355	0.07390068970502912	0.11355497156315224	0.016537494451708122	0.015707992775805164	0.07440107022179597	0.03939313781421406
29.831932773109244	0.07390068871654909	0.11355496978339455	0.016537494044652372	0.015707992407985445	0.07440106931410269	0.03939313716653506
30.252100840336134	0.07390068797302021	0.11355496844537556	0.016537493739144517	0.015707992131802524	0.07440106862932756	0.039393136678469144
30.672268907563026	0.0739006874455625	0.11355496749562706	0.01653749352179459	0.015707991935395158	0.07440106814510243	0.03939313633312216
31.092436974789916	0.07390068704966808	0.11355496678302376	0.016537493358803987	0.015707991788058383	0.07440106778093972	0.0393931360738505
31.51260504201681	0.07390068673738023	0.11355496622308094	0.01653749323231762	0.01570799167336065	0.07440106748754446	0.039393135866692526
31.932773109243698	0.0739006865103889	0.11355496581584071	0.016537493140099606	0.015707991589772076	0.07440106727501886	0.03939313571649997
32.35294117647059	0.07390068634788238	0.11355496552303453	0.01653749307283486	0.0157079915290088	0.07440106712654412	0.039393135610532946
32.773109243697476	0.07390068622904894	0.11355496530639388	0.016537493021208306	0.015707991482786964	0.07440106702530147	0.03939313553605155
33.19327731092437	0.07390068616672592	0.11355496519364641	0.016537492994902737	0.015707991459097726	0.07440106696979383	0.039393135496103945
33.61344537815126	0.07390068613438311	0.11355496513530795	0.0165374929813745	0.01570799144689138	0.07440106694059857	0.03939313547526715
34.03361344537815	0.07390068611135314	0.11355496509339304	0.016537492971390004	0.01570799143795388	0.07440106692096267	0.039393135460868985
34.45378151260504	0.0739006860811998	0.11355496503821491	0.01653749295810454	0.015707991426117663	0.07440106689605967	0.03939313544222254
34.87394957983194	0.07390068604739791	0.1135549649762472	0.016537492943143526	0.015707991412810905	0.07440106686843123	0.039393135421375125
35.294117647058826	0.07390068605162299	0.11355496498334013	0.016537492944382927	0.015707991414034717	0.07440106687394094	0.039393135424805624
35.714285714285715	0.07390068605199568	0.11355496498359947	0.016537492944154537	0.015707991413915393	0.07440106687556866	0.03939313542555476
36.134453781512605	0.07390068604106209	0.11355496496365124	0.016537492939434708	0.015707991409711984	0.07440106686632307	0.039393135418680315
36.554621848739494	0.07390068601136832	0.11355496491012144	0.016537492927199797	0.015707991398683535	0.0744010668392129	0.039393135399240074
36.97478991596639	0.07390068597839439	0.11355496485068406	0.016537492913571542	0.01570799138638502	0.07440106680910456	0.039393135377709165
37.39495798319328	0.07390068597632235	0.11355496484682132	0.016537492912653513	0.015707991385593	0.07440106680753536	0.039393135376433
37.81512605042017	0.07390068596595405	0.11355496482809317	0.016537492908373537	0.015707991381744026	0.0744010667981175	0.039393135369651604
38.23529411764706	0.07390068594728946	0.11355496479449963	0.01653749290073161	0.015707991374838092	0.074401066780851	0.03939313535736499
38.65546218487395	0.07390068592975377	0.11355496476293979	0.016537492893553076	0.015707991368350348	0.07440106676462273	0.03939313534582004
39.075630252100844	0.07390068595466134	0.11355496480748935	0.016537492903605948	0.015707991377513778	0.07440106678838757	0.03939313536239948
39.49579831932773	0.07390068597687602	0.11355496484722022	0.016537492912571075	0.01570799138568626	0.0744010668095871	0.03939313537718754
39.91596638655462	0.07390068599639778	0.11355496488213238	0.01653749292044846	0.015707991392867802	0.07440106682822133	0.03939313539018423
40.33613445378151	0.07390068601322662	0.11355496491222584	0.0165374929272381	0.015707991399058395	0.07440106684429025	0.03939313540138954
40.7563025210084	0.07390068602736256	0.11355496493750061	0.016537492932939997	0.01570799140425804	0.07440106685779387	0.03939313541080347
41.1764705882353	0.07390068603880558	0.11355496495795668	0.01653749293755415	0.015707991408466744	0.07440106686873219	0.039393135418426026
41.596638655462186	0.07390068604755569	0.11355496497359405	0.016537492941080558	0.0157079914116845	0.0744010668771052	0.03939313542425721
